gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
GCA_000152525.1_ASM15252v1_genomic_CDS_0016	CH482383.1	13731	15980	+	GCA_002025755.1_ASM202575v1_genomic_CDS_3187	1	shell	2	1	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0017	CH482383.1	16090	17235	+	GCA_002025755.1_ASM202575v1_genomic_CDS_3186	1	shell	0	2	4
GCA_000152525.1_ASM15252v1_genomic_CDS_0018	CH482383.1	17441	18322	+	GCA_000467675.1_PseVRFPA03_genomic_CDS_3744	1	shell	1	1	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0019	CH482383.1	18421	19068	+	GCA_000399805.1_Pseudoaeru02_genomic_CDS_1820	1	persistent	1	6	34
GCA_000152525.1_ASM15252v1_genomic_CDS_0020	CH482383.1	19076	20188	+	GCA_001450625.1_WH-SGI-V-07185_genomic_CDS_1041	1	shell	1	1	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0021	CH482383.1	20347	21705	+	GCA_001605875.1_ASM160587v1_genomic_CDS_2544	1	shell	0	2	4
GCA_000152525.1_ASM15252v1_genomic_CDS_0022	CH482383.1	21747	22892	+	GCA_000399805.1_Pseudoaeru02_genomic_CDS_1824	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0023	CH482383.1	22871	23113	-	GCA_000733615.1_ASM73361v1_genomic_CDS_2033	1	shell	1	1	3
GCA_000152525.1_ASM15252v1_genomic_CDS_0024	CH482383.1	23301	23765	+	GCA_001453465.1_WH-SGI-V-07639_genomic_CDS_5478	1	persistent	1	4	17
GCA_000152525.1_ASM15252v1_genomic_CDS_0025	CH482383.1	24094	26895	+	GCA_001045515.1_ASM104551v1_genomic_CDS_3186	1	shell	1	2	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0026	CH482383.1	26895	27233	+	GCA_001007345.1_ASM100734v1_genomic_CDS_1888	1	shell	0	2	11
GCA_000152525.1_ASM15252v1_genomic_CDS_0027	CH482383.1	27230	28729	+	GCA_000558345.1_MDR_VRFPA09_genomic_CDS_4186	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0028	CH482383.1	28726	29250	+	GCA_000496325.1_MDRPA05_genomic_CDS_3583	1	shell	0	2	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0029	CH482383.1	29235	29504	+	GCA_000496325.1_MDRPA05_genomic_CDS_3584	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0030	CH482383.1	29501	29848	+	GCA_001045515.1_ASM104551v1_genomic_CDS_3191	1	shell	0	2	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0031	CH482383.1	29961	30866	+	GCA_001454745.1_WH-SGI-V-07311_genomic_CDS_0444	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0032	CH482383.1	30877	31416	+	GCA_001454745.1_WH-SGI-V-07311_genomic_CDS_0443	2	shell	0	6	6
GCA_000152525.1_ASM15252v1_genomic_CDS_0033	CH482383.1	31483	31974	+	GCA_001454745.1_WH-SGI-V-07311_genomic_CDS_0443	2	shell	0	6	6
GCA_000152525.1_ASM15252v1_genomic_CDS_0034	CH482383.1	31985	32506	+	GCA_000505805.1_P.aer_PFK10_genomic_CDS_4118	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0035	CH482383.1	32503	32754	+	GCA_000705195.1_RH_uta_asm_3_0324_genomic_CDS_3607	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0036	CH482383.1	32785	33450	-	GCA_001036075.1_ASM103607v1_genomic_CDS_1733	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0037	CH482383.1	33545	33943	+	GCA_000505825.1_P.aer_PK6_genomic_CDS_4028	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0038	CH482383.1	33954	34553	-	GCA_000505825.1_P.aer_PK6_genomic_CDS_4027	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0039	CH482383.1	34659	35573	+	GCA_000505825.1_P.aer_PK6_genomic_CDS_4026	1	shell	0	2	4
GCA_000152525.1_ASM15252v1_genomic_CDS_0040	CH482383.1	35741	37582	+	GCA_000399805.1_Pseudoaeru02_genomic_CDS_1842	1	shell	0	3	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0041	CH482383.1	37619	39913	+	GCA_000825745.1_PAE221_genomic_CDS_4721	1	shell	1	1	3
GCA_000152525.1_ASM15252v1_genomic_CDS_0042	CH482383.1	39990	40697	-	GCA_001010525.1_ASM101052v1_genomic_CDS_2676	1	persistent	2	4	19
GCA_000152525.1_ASM15252v1_genomic_CDS_0043	CH482383.1	40700	41467	-	GCA_001400275.1_PdaICMP9757_genomic_CDS_1843	1	persistent	2	1	8
GCA_000152525.1_ASM15252v1_genomic_CDS_0044	CH482383.1	41464	42717	-	GCA_000531435.1_PA38182_genomic_CDS_1123	1	shell	3	2	10
GCA_000152525.1_ASM15252v1_genomic_CDS_0045	CH482383.1	42714	43637	-	GCA_001465445.1_ADP0v1_genomic_CDS_3213	1	persistent	1	3	12
GCA_000152525.1_ASM15252v1_genomic_CDS_0046	CH482383.1	43898	45019	-	GCA_000467675.1_PseVRFPA03_genomic_CDS_3777	1	shell	1	1	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0047	CH482383.1	45318	45635	+	GCA_001547575.1_ASM154757v1_genomic_CDS_0280	1	shell	0	2	3
GCA_000152525.1_ASM15252v1_genomic_CDS_0048	CH482383.1	45702	46064	+	GCA_001547575.1_ASM154757v1_genomic_CDS_0279	1	shell	1	1	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0049	CH482383.1	46317	46724	+	GCA_000733635.1_ASM73363v1_genomic_CDS_5868	1	persistent	2	2	11
GCA_000152525.1_ASM15252v1_genomic_CDS_0050	CH482383.1	46730	47170	+	GCA_001641325.1_ASM164132v1_genomic_CDS_2226	1	persistent	1	3	22
GCA_000152525.1_ASM15252v1_genomic_CDS_0051	CH482383.1	47183	47896	+	GCA_000751715.1_HGAP_corrected_genomic_CDS_2002	1	shell	1	1	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0052	CH482383.1	47924	49312	+	GCA_000705215.1_RH_utaHolly_4_genomic_CDS_4402	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0053	CH482383.1	49530	50279	+	GCA_000412735.1_pagenome_genomic_CDS_4249	1	shell	1	1	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0054	CH482383.1	50326	51111	+	GCA_001450625.1_WH-SGI-V-07185_genomic_CDS_1008	1	persistent	1	7	21
GCA_000152525.1_ASM15252v1_genomic_CDS_0055	CH482383.1	51157	51852	+	GCA_000572265.1_PA01_BK1_genomic_CDS_3413	1	persistent	2	0	4
GCA_000152525.1_ASM15252v1_genomic_CDS_0056	CH482383.1	51864	52973	+	GCA_000733635.1_ASM73363v1_genomic_CDS_5859	1	persistent	1	4	33
GCA_000152525.1_ASM15252v1_genomic_CDS_0057	CH482383.1	52984	54186	+	GCA_000467675.1_PseVRFPA03_genomic_CDS_3788	1	shell	1	1	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0058	CH482383.1	54205	56256	+	GCA_000705155.1_RH_utaHolly_2_genomic_CDS_3307	1	shell	0	3	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0059	CH482383.1	56282	57601	+	GCA_001547575.1_ASM154757v1_genomic_CDS_4382	1	shell	0	3	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0060	CH482383.1	57656	58417	+	GCA_000987945.1_ASM98794v1_genomic_CDS_4766	1	cloud	0	1	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0061	CH482383.1	58422	59024	+	GCA_000496325.1_MDRPA05_genomic_CDS_3615	1	cloud	0	0	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0062	CH482383.1	59000	59662	+	GCA_000496325.1_MDRPA05_genomic_CDS_3616	1	cloud	0	0	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0063	CH482383.1	59655	64739	+	GCA_000496325.1_MDRPA05_genomic_CDS_3617	1	cloud	0	0	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0064	CH482383.1	65097	66563	+	GCA_001706005.1_ASM170600v1_genomic_CDS_2697	1	cloud	0	0	4
GCA_000152525.1_ASM15252v1_genomic_CDS_0065	CH482383.1	66643	67014	+	GCA_000152525.1_ASM15252v1_genomic_CDS_0065	1	cloud	0	0	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0066	CH482383.1	67100	68524	+	GCA_000987945.1_ASM98794v1_genomic_CDS_4759	1	cloud	0	0	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0067	CH482383.1	68646	69026	+	GCA_000496325.1_MDRPA05_genomic_CDS_2751	1	cloud	0	0	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0068	CH482383.1	69049	69345	+	GCA_000152525.1_ASM15252v1_genomic_CDS_0068	1	cloud	1	0	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0069	CH482383.1	69627	71099	+	GCA_001830395.1_ASM183039v1_genomic_CDS_1144	1	persistent	0	6	30
GCA_000152525.1_ASM15252v1_genomic_CDS_0070	CH482383.1	71212	72420	+	GCA_000531435.1_PA38182_genomic_CDS_1154	1	shell	1	2	5
GCA_000152525.1_ASM15252v1_genomic_CDS_0071	CH482383.1	72425	73846	+	GCA_000531435.1_PA38182_genomic_CDS_1155	1	shell	0	2	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0072	CH482383.1	74093	74422	+	GCA_001465445.1_ADP0v1_genomic_CDS_3355	1	shell	0	3	4
GCA_000152525.1_ASM15252v1_genomic_CDS_0073	CH482383.1	74445	76151	+	GCA_000705215.1_RH_utaHolly_4_genomic_CDS_4436	1	shell	1	1	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0074	CH482383.1	76248	77264	+	GCA_001874665.1_ASM187466v1_genomic_CDS_2255	1	persistent	1	5	22
GCA_000152525.1_ASM15252v1_genomic_CDS_0075	CH482383.1	77266	78072	+	GCA_000335395.3_ASM33539v3_genomic_CDS_3702	1	shell	2	1	3
GCA_000152525.1_ASM15252v1_genomic_CDS_0076	CH482383.1	78062	78796	+	GCA_000467045.1_ASM46704v1_genomic_CDS_4932	1	cloud	1	1	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0077	CH482383.1	78943	79419	+	GCA_001400415.1_PhoICMP7840_genomic_CDS_5127	1	persistent	1	6	29
GCA_000152525.1_ASM15252v1_genomic_CDS_0078	CH482383.1	79433	79876	+	GCA_000705155.1_RH_utaHolly_2_genomic_CDS_3275	1	shell	1	1	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0079	CH482383.1	79881	80594	-	GCA_000399805.1_Pseudoaeru02_genomic_CDS_1884	1	shell	0	2	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0080	CH482383.1	80793	81989	-	GCA_001452885.1_WH-SGI-V-07252_genomic_CDS_3302	1	shell	0	2	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0081	CH482383.1	82106	83263	-	GCA_001452885.1_WH-SGI-V-07252_genomic_CDS_3301	1	shell	0	3	3
GCA_000152525.1_ASM15252v1_genomic_CDS_0082	CH482383.1	83353	84132	+	GCA_000572265.1_PA01_BK1_genomic_CDS_3382	1	shell	0	2	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0083	CH482383.1	84137	84847	-	GCA_000412735.1_pagenome_genomic_CDS_4218	1	shell	0	3	3
GCA_000152525.1_ASM15252v1_genomic_CDS_0084	CH482383.1	84960	85583	+	GCA_000412735.1_pagenome_genomic_CDS_4217	1	shell	0	2	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0085	CH482383.1	85676	86824	+	GCA_001990445.1_ASM199044v1_genomic_CDS_0553	1	shell	0	2	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0086	CH482383.1	86828	87049	-	GCA_001045515.1_ASM104551v1_genomic_CDS_3255	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0087	CH482383.1	87150	87341	-	GCA_001450625.1_WH-SGI-V-07185_genomic_CDS_0976	1	shell	0	2	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0088	CH482383.1	87814	89580	+	GCA_000962895.1_ASM96289v1_genomic_CDS_5367	1	shell	1	3	11
GCA_000152525.1_ASM15252v1_genomic_CDS_0089	CH482383.1	89583	89918	-	GCA_000505805.1_P.aer_PFK10_genomic_CDS_4055	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0090	CH482383.1	90022	92346	-	GCA_000505805.1_P.aer_PFK10_genomic_CDS_4054	1	shell	1	4	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0091	CH482383.1	92601	93440	+	GCA_000733635.1_ASM73363v1_genomic_CDS_4941	1	shell	0	3	3
GCA_000152525.1_ASM15252v1_genomic_CDS_0092	CH482383.1	93450	93824	-	GCA_001547575.1_ASM154757v1_genomic_CDS_4414	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0093	CH482383.1	93931	94485	-	GCA_001547575.1_ASM154757v1_genomic_CDS_4415	1	shell	0	2	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0094	CH482383.1	94760	95266	-	GCA_000258285.1_ASM25828v1_genomic_CDS_1274	1	shell	0	2	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0095	CH482383.1	95238	96545	-	GCA_001036075.1_ASM103607v1_genomic_CDS_1132	1	shell	0	2	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0096	CH482383.1	96545	97117	-	GCA_000258285.1_ASM25828v1_genomic_CDS_1272	1	shell	1	1	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0097	CH482383.1	97327	97866	+	GCA_000152525.1_ASM15252v1_genomic_CDS_0097	1	persistent	0	5	14
GCA_000152525.1_ASM15252v1_genomic_CDS_0098	CH482383.1	98164	98484	-	GCA_000258285.1_ASM25828v1_genomic_CDS_1270	1	shell	1	1	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0099	CH482383.1	98715	100211	+	GCA_000467675.1_PseVRFPA03_genomic_CDS_3840	1	shell	0	2	3
GCA_000152525.1_ASM15252v1_genomic_CDS_0100	CH482383.1	100225	100977	+	GCA_000467675.1_PseVRFPA03_genomic_CDS_3841	1	shell	0	2	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0101	CH482383.1	100984	101571	-	GCA_001921095.1_TRN6622_genomic_CDS_4597	1	shell	0	3	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0102	CH482383.1	101666	102655	-	GCA_001007345.1_ASM100734v1_genomic_CDS_5576	1	shell	0	2	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0103	CH482383.1	102790	103701	+	GCA_000705215.1_RH_utaHolly_4_genomic_CDS_4466	1	shell	0	5	3
GCA_000152525.1_ASM15252v1_genomic_CDS_0104	CH482383.1	103737	104144	+	GCA_000987945.1_ASM98794v1_genomic_CDS_0045	1	shell	0	3	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0105	CH482383.1	104141	105118	-	GCA_000751715.1_HGAP_corrected_genomic_CDS_2066	1	shell	0	2	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0106	CH482383.1	105106	106374	-	GCA_000825745.1_PAE221_genomic_CDS_4785	1	shell	0	4	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0107	CH482383.1	106597	107376	+	GCA_000705155.1_RH_utaHolly_2_genomic_CDS_3244	1	shell	0	2	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0108	CH482383.1	107386	107736	-	GCA_000705155.1_RH_utaHolly_2_genomic_CDS_3243	1	shell	0	3	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0109	CH482383.1	107803	108216	-	GCA_000505805.1_P.aer_PFK10_genomic_CDS_4033	1	shell	0	4	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0110	CH482383.1	108472	109347	-	GCA_001451445.1_WH-SGI-V-07422_genomic_CDS_3967	1	shell	0	4	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0111	CH482383.1	109462	110250	+	GCA_000412735.1_pagenome_genomic_CDS_4189	1	shell	0	3	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0112	CH482383.1	110257	111273	-	GCA_001605875.1_ASM160587v1_genomic_CDS_5123	1	shell	0	4	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0113	CH482383.1	111389	112264	+	GCA_000531435.1_PA38182_genomic_CDS_1199	1	shell	0	3	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0114	CH482383.1	112355	113203	+	GCA_000412735.1_pagenome_genomic_CDS_4186	1	shell	0	4	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0115	CH482383.1	113301	114137	-	GCA_000412735.1_pagenome_genomic_CDS_4185	1	shell	1	2	6
GCA_000152525.1_ASM15252v1_genomic_CDS_0116	CH482383.1	114274	115176	-	GCA_000572265.1_PA01_BK1_genomic_CDS_3348	1	shell	0	2	4
GCA_000152525.1_ASM15252v1_genomic_CDS_0117	CH482383.1	115374	116039	-	GCA_000825745.1_PAE221_genomic_CDS_4796	1	cloud	0	3	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0118	CH482383.1	116652	117368	-	GCA_001036075.1_ASM103607v1_genomic_CDS_1156	1	shell	0	3	4
GCA_000152525.1_ASM15252v1_genomic_CDS_0119	CH482383.1	117450	118103	-	GCA_000505805.1_P.aer_PFK10_genomic_CDS_4024	1	shell	0	4	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0120	CH482383.1	118171	119505	-	GCA_001036075.1_ASM103607v1_genomic_CDS_0001	1	shell	1	7	4
GCA_000152525.1_ASM15252v1_genomic_CDS_0121	CH482383.1	119999	120955	+	GCA_000152525.1_ASM15252v1_genomic_CDS_0121	1	shell	0	3	7
GCA_000152525.1_ASM15252v1_genomic_CDS_0122	CH482383.1	121023	122102	-	GCA_000152525.1_ASM15252v1_genomic_CDS_0122	1	shell	0	3	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0123	CH482383.1	122204	123694	-	GCA_001547575.1_ASM154757v1_genomic_CDS_4444	1	shell	0	2	5
GCA_000152525.1_ASM15252v1_genomic_CDS_0124	CH482383.1	123954	125870	-	GCA_002088155.1_ASM208815v1_genomic_CDS_2944	1	shell	0	4	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0125	CH482383.1	126182	126961	-	GCA_000496325.1_MDRPA05_genomic_CDS_0320	1	shell	0	3	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0126	CH482383.1	126989	127357	-	GCA_001547575.1_ASM154757v1_genomic_CDS_4447	1	shell	0	5	4
GCA_000152525.1_ASM15252v1_genomic_CDS_0127	CH482383.1	127727	127987	+	GCA_000152525.1_ASM15252v1_genomic_CDS_0127	1	cloud	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0128	CH482383.1	129991	130545	-	GCA_001010525.1_ASM101052v1_genomic_CDS_2426	1	shell	1	3	8
GCA_000152525.1_ASM15252v1_genomic_CDS_0129	CH482383.1	131240	132817	-	GCA_000152525.1_ASM15252v1_genomic_CDS_0129	1	cloud	1	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0130	CH482383.1	133046	134176	-	GCA_002282595.1_ASM228259v1_genomic_CDS_1939	1	persistent	2	7	69
GCA_000152525.1_ASM15252v1_genomic_CDS_0131	CH482383.1	134550	137441	-	GCA_000759445.1_ASM75944v1_genomic_CDS_2100	1	persistent	2	1	45
GCA_000152525.1_ASM15252v1_genomic_CDS_0132	CH482383.1	138174	138884	+	GCA_001641345.1_ASM164134v1_genomic_CDS_5319	1	persistent	1	3	13
GCA_000152525.1_ASM15252v1_genomic_CDS_0133	CH482383.1	138968	140584	+	GCA_000152525.1_ASM15252v1_genomic_CDS_0133	1	shell	3	0	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0134	CH482383.1	140904	141113	+	GCA_002256045.1_ASM225604v1_genomic_CDS_2840	1	persistent	2	5	15
GCA_000152525.1_ASM15252v1_genomic_CDS_0135	CH482383.1	141219	141602	-	GCA_001007345.1_ASM100734v1_genomic_CDS_5609	1	shell	1	1	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0136	CH482383.1	141620	142423	-	GCA_001465445.1_ADP0v1_genomic_CDS_6285	1	shell	2	2	3
GCA_000152525.1_ASM15252v1_genomic_CDS_0137	CH482383.1	142423	143574	-	GCA_001465445.1_ADP0v1_genomic_CDS_6283	1	persistent	2	5	16
GCA_000152525.1_ASM15252v1_genomic_CDS_0138	CH482383.1	143689	146298	-	GCA_000705215.1_RH_utaHolly_4_genomic_CDS_4500	1	shell	2	0	6
GCA_000152525.1_ASM15252v1_genomic_CDS_0139	CH482383.1	146510	147322	+	GCA_000733615.1_ASM73361v1_genomic_CDS_3473	1	persistent	1	7	26
GCA_000152525.1_ASM15252v1_genomic_CDS_0140	CH482383.1	147323	148051	-	GCA_000505825.1_P.aer_PK6_genomic_CDS_3930	1	shell	1	1	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0141	CH482383.1	148279	149067	-	GCA_000705155.1_RH_utaHolly_2_genomic_CDS_3211	1	shell	1	2	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0142	CH482383.1	149243	149914	+	GCA_000505805.1_P.aer_PFK10_genomic_CDS_4006	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0143	CH482383.1	150414	150734	+	GCA_001450625.1_WH-SGI-V-07185_genomic_CDS_0015	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0144	CH482383.1	150812	152869	+	GCA_001451445.1_WH-SGI-V-07422_genomic_CDS_3935	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0145	CH482383.1	152913	153647	-	GCA_000987945.1_ASM98794v1_genomic_CDS_2867	1	shell	0	2	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0146	CH482383.1	154104	155300	+	GCA_000558345.1_MDR_VRFPA09_genomic_CDS_4063	1	shell	0	3	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0147	CH482383.1	155332	155928	-	GCA_000733615.1_ASM73361v1_genomic_CDS_4214	1	shell	1	2	7
GCA_000152525.1_ASM15252v1_genomic_CDS_0148	CH482383.1	155939	156430	-	GCA_001990445.1_ASM199044v1_genomic_CDS_0492	1	shell	0	3	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0149	CH482383.1	156441	158945	-	GCA_001007345.1_ASM100734v1_genomic_CDS_3386	1	shell	1	2	8
GCA_000152525.1_ASM15252v1_genomic_CDS_0150	CH482383.1	158926	159255	-	GCA_000558345.1_MDR_VRFPA09_genomic_CDS_4059	1	shell	0	3	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0151	CH482383.1	159248	159739	-	GCA_001990445.1_ASM199044v1_genomic_CDS_0489	1	shell	0	3	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0152	CH482383.1	159748	159915	-	GCA_001010525.1_ASM101052v1_genomic_CDS_2452	1	shell	0	3	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0153	CH482383.1	160137	160739	+	GCA_000399805.1_Pseudoaeru02_genomic_CDS_1980	1	shell	1	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0154	CH482383.1	160819	161496	+	GCA_001828745.1_ASM182874v1_genomic_CDS_2753	1	persistent	1	6	27
GCA_000152525.1_ASM15252v1_genomic_CDS_0155	CH482383.1	161493	162839	+	GCA_000399805.1_Pseudoaeru02_genomic_CDS_1982	1	shell	1	1	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0156	CH482383.1	162941	166303	+	GCA_001465155.1_ASM146515v1_genomic_CDS_0189	1	shell	0	2	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0157	CH482383.1	166307	167308	-	GCA_000733615.1_ASM73361v1_genomic_CDS_4221	1	shell	1	2	9
GCA_000152525.1_ASM15252v1_genomic_CDS_0158	CH482383.1	167644	168954	+	GCA_000733635.1_ASM73363v1_genomic_CDS_0445	1	persistent	1	12	27
GCA_000152525.1_ASM15252v1_genomic_CDS_0159	CH482383.1	169029	169919	-	GCA_001036075.1_ASM103607v1_genomic_CDS_5452	1	shell	1	1	0
GCA_000152525.1_ASM15252v1_genomic_CDS_0160	CH482383.1	170121	170750	+	GCA_000531435.1_PA38182_genomic_CDS_1252	1	shell	0	2	2
GCA_000152525.1_ASM15252v1_genomic_CDS_0161	CH482383.1	170797	171753	+	GCA_001465155.1_ASM146515v1_genomic_CDS_0194	1	shell	0	2	1
GCA_000152525.1_ASM15252v1_genomic_CDS_0162	CH482383.1	171855	172994	+	GCA_001007345.1_ASM100734v1_genomic_CDS_2274	1	shell	1	3	9
GCA_000152525.1_ASM15252v1_genomic_CDS_0163	CH482383.1	173083	174264	+	GCA_001454745.1_WH-SGI-V-07311_genomic_CDS_0315	1	shell	1	2	3
GCA_000152525.1_ASM15252v1_genomic_CDS_0164	CH482383.1	174266	174763	-	GCA_000258285.1_ASM25828v1_genomic_CDS_1206	1	shell	1	1	1
