gene	contig	start	stop	strand	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
GCA_000258285.1_ASM25828v1_genomic_CDS_0015	AJKG01000005.1	10944	11234	-	GCA_000751715.1_HGAP_corrected_genomic_CDS_1875	1	cloud	0	1	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0016	AJKG01000005.1	11231	11530	-	GCA_000751715.1_HGAP_corrected_genomic_CDS_1874	1	cloud	0	1	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0017	AJKG01000005.1	11732	12856	+	GCA_000572265.1_PA01_BK1_genomic_CDS_4702	1	shell	0	2	6
GCA_000258285.1_ASM25828v1_genomic_CDS_0018	AJKG01000005.1	12856	14565	+	GCA_000467675.1_PseVRFPA03_genomic_CDS_1314	1	shell	0	2	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0019	AJKG01000005.1	14569	15894	+	GCA_000258285.1_ASM25828v1_genomic_CDS_0019	1	shell	0	2	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0020	AJKG01000005.1	15884	16417	+	GCA_001450625.1_WH-SGI-V-07185_genomic_CDS_4728	1	shell	0	2	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0021	AJKG01000005.1	16426	18006	+	GCA_000467675.1_PseVRFPA03_genomic_CDS_1311	1	shell	0	2	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0022	AJKG01000005.1	18006	19085	+	GCA_000467675.1_PseVRFPA03_genomic_CDS_1310	1	shell	0	2	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0023	AJKG01000005.1	19107	19637	+	GCA_001454745.1_WH-SGI-V-07311_genomic_CDS_4031	1	shell	0	2	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0024	AJKG01000005.1	19634	20590	+	GCA_001990445.1_ASM199044v1_genomic_CDS_1779	1	shell	0	2	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0025	AJKG01000005.1	20583	21962	+	GCA_000705195.1_RH_uta_asm_3_0324_genomic_CDS_2838	1	shell	0	3	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0026	AJKG01000005.1	21980	22417	+	GCA_000705195.1_RH_uta_asm_3_0324_genomic_CDS_2839	1	shell	0	1	4
GCA_000258285.1_ASM25828v1_genomic_CDS_0027	AJKG01000005.1	23339	23905	+	GCA_001450625.1_WH-SGI-V-07185_genomic_CDS_4735	1	cloud	0	1	4
GCA_000258285.1_ASM25828v1_genomic_CDS_0028	AJKG01000005.1	24163	24297	+	GCA_001990445.1_ASM199044v1_genomic_CDS_1775	1	cloud	0	1	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0029	AJKG01000005.1	24620	25108	+	GCA_000467675.1_PseVRFPA03_genomic_CDS_3658	1	shell	0	4	4
GCA_000258285.1_ASM25828v1_genomic_CDS_0030	AJKG01000005.1	25246	25404	+	GCA_000705155.1_RH_utaHolly_2_genomic_CDS_3468	1	shell	0	3	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0031	AJKG01000005.1	25478	25675	+	GCA_000705155.1_RH_utaHolly_2_genomic_CDS_3469	1	shell	0	3	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0032	AJKG01000005.1	25867	26580	+	GCA_000152525.1_ASM15252v1_genomic_CDS_5102	1	shell	0	3	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0033	AJKG01000005.1	26816	27166	+	GCA_000152525.1_ASM15252v1_genomic_CDS_5101	1	shell	0	2	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0034	AJKG01000005.1	27223	27855	+	GCA_000152525.1_ASM15252v1_genomic_CDS_5100	1	shell	0	2	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0035	AJKG01000005.1	27852	28127	+	GCA_000152525.1_ASM15252v1_genomic_CDS_5099	1	shell	0	2	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0036	AJKG01000005.1	28197	28559	+	GCA_001453465.1_WH-SGI-V-07639_genomic_CDS_3876	1	shell	0	3	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0037	AJKG01000005.1	28627	28887	+	GCA_001921095.1_TRN6622_genomic_CDS_3192	1	shell	0	2	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0038	AJKG01000005.1	28980	29585	+	GCA_000412735.1_pagenome_genomic_CDS_5017	1	shell	0	3	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0039	AJKG01000005.1	29615	31060	+	GCA_000500605.1_PseudoSJ9_genomic_CDS_0519	1	shell	0	2	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0040	AJKG01000005.1	31165	31821	+	GCA_000705195.1_RH_uta_asm_3_0324_genomic_CDS_1559	1	cloud	0	1	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0041	AJKG01000005.1	31887	32570	+	GCA_000705195.1_RH_uta_asm_3_0324_genomic_CDS_1558	1	cloud	0	0	4
GCA_000258285.1_ASM25828v1_genomic_CDS_0042	AJKG01000005.1	33434	33808	+	GCA_000705195.1_RH_uta_asm_3_0324_genomic_CDS_1557	1	cloud	0	0	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0043	AJKG01000005.1	34402	34998	+	GCA_000751715.1_HGAP_corrected_genomic_CDS_1845	1	cloud	0	0	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0044	AJKG01000005.1	35961	36284	+	GCA_000751715.1_HGAP_corrected_genomic_CDS_1844	1	cloud	0	0	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0045	AJKG01000005.1	36389	37087	+	GCA_000751715.1_HGAP_corrected_genomic_CDS_1843	1	cloud	0	0	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0046	AJKG01000005.1	37111	37383	-	GCA_000751715.1_HGAP_corrected_genomic_CDS_1842	1	cloud	0	1	4
GCA_000258285.1_ASM25828v1_genomic_CDS_0047	AJKG01000005.1	37601	38299	+	GCA_000531435.1_PA38182_genomic_CDS_6722	1	shell	0	5	8
GCA_000258285.1_ASM25828v1_genomic_CDS_0048	AJKG01000005.1	38310	39065	+	GCA_001454745.1_WH-SGI-V-07311_genomic_CDS_4005	1	shell	0	2	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0049	AJKG01000005.1	39050	39631	+	GCA_001045515.1_ASM104551v1_genomic_CDS_2903	1	shell	0	3	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0050	AJKG01000005.1	39628	40128	+	GCA_000335395.3_ASM33539v3_genomic_CDS_3903	1	shell	0	2	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0051	AJKG01000005.1	40137	40406	+	GCA_000258285.1_ASM25828v1_genomic_CDS_0051	1	shell	0	3	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0052	AJKG01000005.1	40410	42641	+	GCA_001914085.1_ASM191408v1_genomic_CDS_1232	1	shell	0	5	9
GCA_000258285.1_ASM25828v1_genomic_CDS_0053	AJKG01000005.1	42638	43387	+	GCA_001454745.1_WH-SGI-V-07311_genomic_CDS_4000	1	shell	0	3	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0054	AJKG01000005.1	44138	45619	+	GCA_001454745.1_WH-SGI-V-07311_genomic_CDS_3999	1	shell	0	6	5
GCA_000258285.1_ASM25828v1_genomic_CDS_0055	AJKG01000005.1	45751	46860	+	GCA_001921095.1_TRN6622_genomic_CDS_0140	1	shell	0	3	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0056	AJKG01000005.1	47390	47488	+	GCA_000258285.1_ASM25828v1_genomic_CDS_0056	1	cloud	0	2	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0057	AJKG01000005.1	47485	50451	-	GCA_001400275.1_PdaICMP9757_genomic_CDS_3860	1	shell	0	3	32
GCA_000258285.1_ASM25828v1_genomic_CDS_0058	AJKG01000005.1	50455	51015	-	GCA_000497835.1_L18_assembly_1.0_genomic_CDS_5955	1	shell	0	3	21
GCA_000258285.1_ASM25828v1_genomic_CDS_0059	AJKG01000005.1	51018	51626	-	GCA_000258285.1_ASM25828v1_genomic_CDS_0059	1	cloud	0	1	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0060	AJKG01000005.1	51900	52334	-	GCA_000558345.1_MDR_VRFPA09_genomic_CDS_4378	1	cloud	0	4	12
GCA_000258285.1_ASM25828v1_genomic_CDS_0061	AJKG01000005.1	52406	52756	+	GCA_000558345.1_MDR_VRFPA09_genomic_CDS_4379	1	shell	0	1	10
GCA_000258285.1_ASM25828v1_genomic_CDS_0062	AJKG01000005.1	52772	53047	+	GCA_000558345.1_MDR_VRFPA09_genomic_CDS_4380	1	shell	0	2	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0063	AJKG01000005.1	53050	53295	+	GCA_000801775.1_PfAU2989_genomic_CDS_2674	1	cloud	0	2	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0064	AJKG01000005.1	53292	54938	+	GCA_000558345.1_MDR_VRFPA09_genomic_CDS_4381	1	shell	0	3	18
GCA_000258285.1_ASM25828v1_genomic_CDS_0065	AJKG01000005.1	54954	55319	+	GCA_000801775.1_PfAU2989_genomic_CDS_2676	1	cloud	0	1	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0066	AJKG01000005.1	55316	55552	+	GCA_001045515.1_ASM104551v1_genomic_CDS_2840	1	cloud	0	2	7
GCA_000258285.1_ASM25828v1_genomic_CDS_0067	AJKG01000005.1	55605	56219	-	GCA_000335395.3_ASM33539v3_genomic_CDS_6017	1	cloud	0	4	10
GCA_000258285.1_ASM25828v1_genomic_CDS_0068	AJKG01000005.1	56280	57497	-	GCA_000801775.1_PfAU2989_genomic_CDS_2679	1	cloud	0	0	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0069	AJKG01000005.1	57494	58402	-	GCA_001605875.1_ASM160587v1_genomic_CDS_1670	1	cloud	0	0	5
GCA_000258285.1_ASM25828v1_genomic_CDS_0070	AJKG01000005.1	58405	60084	-	GCA_000467675.1_PseVRFPA03_genomic_CDS_3556	1	cloud	0	2	14
GCA_000258285.1_ASM25828v1_genomic_CDS_0071	AJKG01000005.1	60374	60940	-	GCA_000751715.1_HGAP_corrected_genomic_CDS_1827	1	cloud	0	0	6
GCA_000258285.1_ASM25828v1_genomic_CDS_0072	AJKG01000005.1	60955	61731	-	GCA_000751715.1_HGAP_corrected_genomic_CDS_1826	1	cloud	0	0	4
GCA_000258285.1_ASM25828v1_genomic_CDS_0073	AJKG01000005.1	61791	62375	-	GCA_000751715.1_HGAP_corrected_genomic_CDS_1825	1	cloud	0	0	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0074	AJKG01000005.1	62372	63052	-	GCA_001312165.1_ASM131216v1_genomic_CDS_1650	1	cloud	0	2	5
GCA_000258285.1_ASM25828v1_genomic_CDS_0075	AJKG01000005.1	63233	63460	+	GCA_000558345.1_MDR_VRFPA09_genomic_CDS_4351	1	shell	1	4	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0076	AJKG01000005.1	63554	63892	+	GCA_000496325.1_MDRPA05_genomic_CDS_4420	1	shell	0	3	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0077	AJKG01000005.1	63979	64128	+	GCA_000531435.1_PA38182_genomic_CDS_6761	1	shell	0	2	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0078	AJKG01000005.1	64146	64502	+	GCA_000496325.1_MDRPA05_genomic_CDS_4418	1	shell	0	2	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0079	AJKG01000005.1	64513	64899	+	GCA_001990445.1_ASM199044v1_genomic_CDS_1743	1	shell	0	3	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0080	AJKG01000005.1	64896	65555	+	GCA_000399805.1_Pseudoaeru02_genomic_CDS_1725	1	shell	0	3	4
GCA_000258285.1_ASM25828v1_genomic_CDS_0081	AJKG01000005.1	65552	66436	+	GCA_001450625.1_WH-SGI-V-07185_genomic_CDS_5517	1	shell	0	3	4
GCA_000258285.1_ASM25828v1_genomic_CDS_0082	AJKG01000005.1	66420	67925	+	GCA_000467675.1_PseVRFPA03_genomic_CDS_3630	1	shell	0	5	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0083	AJKG01000005.1	67903	68346	+	GCA_000152525.1_ASM15252v1_genomic_CDS_5068	1	shell	0	3	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0084	AJKG01000005.1	68346	71288	+	GCA_000258285.1_ASM25828v1_genomic_CDS_0084	1	shell	0	5	5
GCA_000258285.1_ASM25828v1_genomic_CDS_0085	AJKG01000005.1	71285	71569	+	GCA_001605875.1_ASM160587v1_genomic_CDS_0412	1	shell	0	2	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0086	AJKG01000005.1	71566	72225	+	GCA_000399805.1_Pseudoaeru02_genomic_CDS_1719	1	shell	0	5	12
GCA_000258285.1_ASM25828v1_genomic_CDS_0087	AJKG01000005.1	72222	72440	-	GCA_000751715.1_HGAP_corrected_genomic_CDS_1811	1	cloud	0	3	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0088	AJKG01000005.1	73256	73879	-	GCA_000751715.1_HGAP_corrected_genomic_CDS_1810	1	cloud	2	7	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0089	AJKG01000005.1	75008	75946	+	GCA_000412735.1_pagenome_genomic_CDS_5049	1	shell	0	6	7
GCA_000258285.1_ASM25828v1_genomic_CDS_0090	AJKG01000005.1	75964	77346	+	GCA_001605875.1_ASM160587v1_genomic_CDS_2247	1	shell	0	4	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0091	AJKG01000005.1	77346	77693	+	GCA_001914085.1_ASM191408v1_genomic_CDS_1595	1	shell	0	3	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0092	AJKG01000005.1	77690	79204	+	GCA_001045515.1_ASM104551v1_genomic_CDS_2868	1	shell	0	5	8
GCA_000258285.1_ASM25828v1_genomic_CDS_0093	AJKG01000005.1	79672	79944	+	GCA_000412735.1_pagenome_genomic_CDS_5054	1	shell	0	2	4
GCA_000258285.1_ASM25828v1_genomic_CDS_0094	AJKG01000005.1	79948	80301	+	GCA_001605875.1_ASM160587v1_genomic_CDS_2242	1	shell	0	1	13
GCA_000258285.1_ASM25828v1_genomic_CDS_0095	AJKG01000005.1	80328	81242	-	GCA_001605875.1_ASM160587v1_genomic_CDS_2241	1	cloud	0	1	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0096	AJKG01000005.1	81268	81507	-	GCA_001605875.1_ASM160587v1_genomic_CDS_2240	1	cloud	0	2	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0097	AJKG01000006.1	56	1192	+	GCA_000412735.1_pagenome_genomic_CDS_3383	1	shell	0	4	11
GCA_000258285.1_ASM25828v1_genomic_CDS_0098	AJKG01000006.1	1189	1812	+	GCA_000705215.1_RH_utaHolly_4_genomic_CDS_3953	1	shell	0	6	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0099	AJKG01000006.1	1809	3692	+	GCA_000152525.1_ASM15252v1_genomic_CDS_0899	1	shell	0	9	10
GCA_000258285.1_ASM25828v1_genomic_CDS_0100	AJKG01000007.1	25	468	+	GCA_000152525.1_ASM15252v1_genomic_CDS_0901	1	shell	1	5	6
GCA_000258285.1_ASM25828v1_genomic_CDS_0101	AJKG01000010.1	656	2245	+	GCA_000258285.1_ASM25828v1_genomic_CDS_0101	1	cloud	0	0	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0102	AJKG01000010.1	2310	2951	+	GCA_001453465.1_WH-SGI-V-07639_genomic_CDS_4738	1	cloud	0	0	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0103	AJKG01000010.1	2959	4188	-	GCA_001453465.1_WH-SGI-V-07639_genomic_CDS_4739	1	cloud	0	0	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0104	AJKG01000010.1	4396	5010	+	GCA_001453465.1_WH-SGI-V-07639_genomic_CDS_4740	1	cloud	0	0	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0105	AJKG01000010.1	5091	6182	+	GCA_001453465.1_WH-SGI-V-07639_genomic_CDS_4741	1	cloud	0	0	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0106	AJKG01000010.1	6336	7292	+	GCA_000705195.1_RH_uta_asm_3_0324_genomic_CDS_5127	1	cloud	0	0	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0107	AJKG01000010.1	7292	9238	+	GCA_001453465.1_WH-SGI-V-07639_genomic_CDS_4089	1	cloud	0	0	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0108	AJKG01000010.1	10105	10515	+	GCA_000705195.1_RH_uta_asm_3_0324_genomic_CDS_3530	1	cloud	0	1	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0109	AJKG01000010.1	10890	11432	+	GCA_000705155.1_RH_utaHolly_2_genomic_CDS_6256	1	shell	0	4	7
GCA_000258285.1_ASM25828v1_genomic_CDS_0110	AJKG01000010.1	11455	12654	-	GCA_000705155.1_RH_utaHolly_2_genomic_CDS_6257	1	shell	0	3	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0111	AJKG01000010.1	12949	13815	+	GCA_000705155.1_RH_utaHolly_2_genomic_CDS_6258	1	shell	0	2	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0112	AJKG01000010.1	13900	14862	-	GCA_000705215.1_RH_utaHolly_4_genomic_CDS_4308	1	shell	0	2	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0113	AJKG01000010.1	14873	17275	-	GCA_000733635.1_ASM73363v1_genomic_CDS_5161	1	shell	0	3	4
GCA_000258285.1_ASM25828v1_genomic_CDS_0114	AJKG01000010.1	17284	18930	-	GCA_001454745.1_WH-SGI-V-07311_genomic_CDS_3070	1	shell	0	2	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0115	AJKG01000010.1	18954	20378	-	GCA_000258285.1_ASM25828v1_genomic_CDS_0115	1	shell	0	3	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0116	AJKG01000010.1	20933	21595	-	GCA_000399805.1_Pseudoaeru02_genomic_CDS_3134	1	shell	0	3	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0117	AJKG01000010.1	21691	23058	-	GCA_000258285.1_ASM25828v1_genomic_CDS_0117	1	shell	0	2	5
GCA_000258285.1_ASM25828v1_genomic_CDS_0118	AJKG01000010.1	23120	24007	-	GCA_000258285.1_ASM25828v1_genomic_CDS_0118	1	shell	0	2	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0119	AJKG01000010.1	24456	25037	+	GCA_000467675.1_PseVRFPA03_genomic_CDS_5029	1	shell	0	2	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0120	AJKG01000010.1	25421	26947	+	GCA_001007345.1_ASM100734v1_genomic_CDS_4101	1	shell	0	2	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0121	AJKG01000010.1	26944	27819	+	GCA_000467675.1_PseVRFPA03_genomic_CDS_5027	1	shell	0	2	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0122	AJKG01000010.1	28050	29207	+	GCA_000292775.1_PPS11_1.0_genomic_CDS_1530	1	shell	0	2	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0123	AJKG01000010.1	29220	30551	+	GCA_001921095.1_TRN6622_genomic_CDS_2866	1	shell	0	2	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0124	AJKG01000010.1	30630	32054	+	GCA_000987945.1_ASM98794v1_genomic_CDS_5208	1	shell	0	4	5
GCA_000258285.1_ASM25828v1_genomic_CDS_0125	AJKG01000010.1	32100	33353	+	GCA_000987945.1_ASM98794v1_genomic_CDS_5207	1	shell	0	2	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0126	AJKG01000010.1	33403	34362	+	GCA_000292775.1_PPS11_1.0_genomic_CDS_1539	1	shell	0	3	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0127	AJKG01000010.1	34436	34588	+	GCA_001451445.1_WH-SGI-V-07422_genomic_CDS_3583	1	shell	0	2	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0128	AJKG01000010.1	34652	36310	-	GCA_001036075.1_ASM103607v1_genomic_CDS_1444	1	shell	0	3	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0129	AJKG01000010.1	36307	36630	-	GCA_001036075.1_ASM103607v1_genomic_CDS_1445	1	shell	0	2	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0130	AJKG01000010.1	36687	38336	-	GCA_001007345.1_ASM100734v1_genomic_CDS_1729	1	shell	0	2	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0131	AJKG01000010.1	38420	39187	-	GCA_001007345.1_ASM100734v1_genomic_CDS_1728	1	shell	0	2	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0132	AJKG01000010.1	39187	40359	-	GCA_001007345.1_ASM100734v1_genomic_CDS_1727	1	shell	0	2	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0133	AJKG01000010.1	40410	40766	-	GCA_000751715.1_HGAP_corrected_genomic_CDS_3321	1	shell	0	2	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0134	AJKG01000010.1	40763	41818	-	GCA_000751715.1_HGAP_corrected_genomic_CDS_3320	1	shell	0	2	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0135	AJKG01000010.1	42015	43967	+	GCA_000399805.1_Pseudoaeru02_genomic_CDS_3111	1	shell	0	3	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0136	AJKG01000010.1	44033	44536	-	GCA_000558345.1_MDR_VRFPA09_genomic_CDS_3034	1	shell	0	2	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0137	AJKG01000012.1	454	1074	-	GCA_000558345.1_MDR_VRFPA09_genomic_CDS_5210	1	shell	0	3	9
GCA_000258285.1_ASM25828v1_genomic_CDS_0138	AJKG01000012.1	1723	3306	-	GCA_001914085.1_ASM191408v1_genomic_CDS_4707	1	shell	0	5	10
GCA_000258285.1_ASM25828v1_genomic_CDS_0139	AJKG01000012.1	3435	4430	-	GCA_000399805.1_Pseudoaeru02_genomic_CDS_3104	1	shell	0	2	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0140	AJKG01000012.1	4458	5633	-	GCA_000505825.1_P.aer_PK6_genomic_CDS_2839	1	shell	0	3	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0141	AJKG01000012.1	5664	6986	-	GCA_000399805.1_Pseudoaeru02_genomic_CDS_3102	1	shell	0	3	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0142	AJKG01000012.1	7172	8422	-	GCA_000705155.1_RH_utaHolly_2_genomic_CDS_5646	1	shell	0	2	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0143	AJKG01000012.1	8595	9608	-	GCA_001914085.1_ASM191408v1_genomic_CDS_4702	1	shell	0	3	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0144	AJKG01000012.1	9605	10564	-	GCA_000705215.1_RH_utaHolly_4_genomic_CDS_4274	1	shell	0	2	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0145	AJKG01000012.1	10557	11882	-	GCA_000531435.1_PA38182_genomic_CDS_2405	1	shell	0	2	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0146	AJKG01000012.1	12149	13162	+	GCA_001605875.1_ASM160587v1_genomic_CDS_6054	1	shell	0	3	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0147	AJKG01000012.1	13190	13720	+	GCA_000258285.1_ASM25828v1_genomic_CDS_0147	1	shell	0	2	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0148	AJKG01000012.1	13717	15237	+	GCA_001451445.1_WH-SGI-V-07422_genomic_CDS_0952	1	shell	0	4	4
GCA_000258285.1_ASM25828v1_genomic_CDS_0149	AJKG01000012.1	15305	16252	+	GCA_000258285.1_ASM25828v1_genomic_CDS_0149	1	shell	0	2	2
GCA_000258285.1_ASM25828v1_genomic_CDS_0150	AJKG01000012.1	16334	16810	+	GCA_000412735.1_pagenome_genomic_CDS_3064	1	shell	0	2	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0151	AJKG01000012.1	17109	17915	+	GCA_000467025.1_ASM46702v1_genomic_CDS_2712	1	shell	0	2	6
GCA_000258285.1_ASM25828v1_genomic_CDS_0152	AJKG01000012.1	17996	18712	+	GCA_001007345.1_ASM100734v1_genomic_CDS_1631	1	shell	0	3	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0153	AJKG01000012.1	18714	19391	+	GCA_000733615.1_ASM73361v1_genomic_CDS_3042	1	shell	0	3	1
GCA_000258285.1_ASM25828v1_genomic_CDS_0154	AJKG01000012.1	19407	20291	-	GCA_002088155.1_ASM208815v1_genomic_CDS_0059	1	shell	0	3	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0155	AJKG01000012.1	20416	22011	-	GCA_001452885.1_WH-SGI-V-07252_genomic_CDS_1148	1	shell	0	2	3
GCA_000258285.1_ASM25828v1_genomic_CDS_0156	AJKG01000012.1	22099	22974	-	GCA_001045515.1_ASM104551v1_genomic_CDS_4635	1	shell	0	2	0
GCA_000258285.1_ASM25828v1_genomic_CDS_0157	AJKG01000012.1	22980	23324	-	GCA_001045515.1_ASM104551v1_genomic_CDS_4634	1	shell	0	2	0
